"id","nombre","A_seg","B_seg","X","interpretacion","fecha","entorno","muestras","intervalo_s"
"RAv-1-G","Disponibilidad del sistema","200","240","0,8333","Proporcion del tiempo programado realmente disponible (1.0 = mejor)","2026-07-04 15:57:17","http://localhost:8080/api","48","5"
"RAv-2-G","Tiempo medio de inactividad","40","1","40","Segundos promedio de inactividad por fallo (0 = mejor). B = numero de fallos observados","2026-07-04 15:57:17","http://localhost:8080/api","48","5"
